"","zip","pop_total","pop_25","prop_hs","prop_sc","prop_b","prop_grad","hh_inc","f_inc","pc_inc"
"1","00601",16721,12360,0.697491909385113,0.39336569579288,0.17168284789644,0.0359223300970874,18571,19801,9933
"2","00602",37510,28534,0.697693979112638,0.443400855120207,0.236384663909722,0.051517487909161,21702,26650,12478
"3","00603",48317,36089,0.777633073789797,0.452132228656931,0.255424090443071,0.089722630164316,19243,26318,14099
"4","00606",5435,4172,0.596116970278044,0.262464046021093,0.108581016299137,0.0436241610738255,20226,23138,10501
"5","00610",25413,19198,0.735180747994583,0.451869986456923,0.237212209605167,0.0600062506511095,23732,28068,14055
"6","00611",1522,1214,0.645799011532125,0.389621087314662,0.257001647446458,0.0527182866556837,22566,25288,14745
"7","00612",62462,45980,0.834058286211396,0.541626794258373,0.294867333623314,0.0700304480208786,23831,30976,14712
"8","00616",9836,7706,0.77887360498313,0.429146119906566,0.237347521411887,0.0337399429016351,21391,26825,12182
"9","00617",22699,16677,0.782754692090904,0.458235893745878,0.243509024404869,0.0575643101277208,22010,25022,14401
"10","00622",7950,6265,0.74413407821229,0.509656823623304,0.231284916201117,0.0687948922585794,26682,29770,16479
"11","00623",39005,29274,0.779838764774202,0.541914326706292,0.297533647605384,0.0764159322265492,25614,30854,15762
"12","00624",21374,15069,0.752073793881479,0.467184285619484,0.2477271219059,0.0401486495454244,21091,23664,12171
"13","00627",32753,24568,0.733433734939759,0.474845327254966,0.212471507652231,0.058165092803647,26094,31072,14617
"14","00631",1357,1102,0.7005444646098,0.500907441016334,0.317604355716878,0.0453720508166969,18295,22833,9525
"15","00636",1071,623,0.757624398073836,0.455858747993579,0.309791332263242,0.0449438202247191,NA,NA,5732
"16","00637",22884,16910,0.815612063867534,0.472560615020698,0.288172678888232,0.046481371969249,20665,25269,13994
"17","00638",17410,13057,0.69931837328636,0.406295473692272,0.168415409358965,0.0242015776977866,20878,23219,10067
"18","00641",23962,17899,0.757360746410414,0.491368232862171,0.218503827029443,0.0390524610313425,17839,22144,10751
"19","00646",36099,26033,0.853570468251834,0.592248300234318,0.361233818614835,0.106172934352553,33184,42152,22410
"20","00647",4611,3276,0.759157509157509,0.334859584859585,0.157203907203907,0.0247252747252747,20357,22000,10297
"21","00650",13457,9526,0.75603611169431,0.406991391979845,0.200923787528868,0.0390510182657989,19811,21038,10597
"22","00652",4492,3312,0.816425120772947,0.53774154589372,0.306159420289855,0.053743961352657,31653,33092,15723
"23","00653",8665,6361,0.677723628360321,0.301524917465807,0.15343499449772,0.0457475239742179,15225,15079,9383
"24","00656",17815,13181,0.788635156664896,0.512631818526667,0.251498368864274,0.0561414156740763,21511,26596,11713
"25","00659",37203,28376,0.782633211164364,0.543381731040316,0.307795319988723,0.0907457005920496,27297,34205,15301
"26","00660",15439,11972,0.811643835616438,0.501419979953224,0.302455730036752,0.0623955897093217,24829,28167,15143
"27","00662",40705,30726,0.77725704614984,0.471587580550674,0.256948512660288,0.057801210701035,20673,26244,13181
"28","00664",14816,10591,0.784534038334435,0.437352469077519,0.201491832688131,0.0477764139363611,18065,21015,9726
"29","00667",23116,17657,0.724924958939797,0.44073172113043,0.210228238092541,0.0426459761001303,18729,21988,10944
"30","00669",27534,20555,0.690537582096813,0.454585259061056,0.208708343468742,0.0564826076380443,19198,21358,10838
"31","00670",8553,6191,0.682280730092069,0.30754320788241,0.158455822968826,0.0277822645776127,16278,20417,9761
"32","00674",39288,29122,0.755305267495364,0.446535265435066,0.235560744454364,0.0631824737311998,20039,27996,14168
"33","00676",36836,26779,0.728107845699989,0.411292430635946,0.24952388065275,0.0620635572650211,21230,27139,14521
"34","00677",15432,12052,0.742117490872884,0.484317955526054,0.245436442084301,0.0516926651178228,24746,29170,15737
"35","00678",24848,18642,0.739995708614955,0.467170904409398,0.212691771269177,0.0520866859778994,22994,27194,12270
"36","00680",42817,30680,0.754302477183833,0.450521512385919,0.254367666232073,0.0730443285528031,17857,24773,13297
"37","00682",29939,19250,0.767220779220779,0.490337662337662,0.304727272727273,0.112467532467532,18067,25065,15854
"38","00683",29431,22028,0.74650444888324,0.421872162702016,0.241964772108226,0.0609678590884329,18231,24628,12687
"39","00685",40323,29965,0.714066410812615,0.44582012347739,0.225062573001835,0.0517937593859503,17909,22780,11626
